alamat,luas_tanah,kecamatan,NJOP_Rp_per_m2,Sertifikat,Sewa_per_Bulan,Aksesbilitas,luas_tanah_m2,Jenis_zona,Aksesibilitas,Tingkat_Keamanan,Kepadatan_Penduduk
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",,Rungkut,2352000,HGB,7432320,Baik,632.0,Perumahan,Baik,rendah,123757
"Jl. Krembangan No. 8, Surabaya",,Krembangan,3500000,HGB,35157500,Baik,2009.0,Industri,Baik,rendah,109027
"Jl. Tunjungan No. 1, Genteng, Surabaya",,Genteng,6195000,SHM,2539950,Baik,82.0,Komersial,Buruk,tinggi,52924
"Jl. Kedungdoro No. 1, Surabaya",LT 810m²,Tegalsari,6805000,Lainnya,27560250,Buruk,810.0,Komersial,Baik,tinggi,92014
"Jl. Tandes No. 14, Surabaya",,Tandes,2000000,HGB,94250000,Baik,9425.0,Perumahan,Buruk,tinggi,87511
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",,Mulyorejo,1416000,SHM,34118520,Buruk,4819.0,Perumahan,Buruk,rendah,86545
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 3585 m²,Sawahan,1416000,HGB,25381800,Baik,3585.0,Perumahan,Buruk,tinggi,188693
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 500 m²,Gunung Anyar,1862000,SHM,4655000,Baik,500.0,Industri,Buruk,rendah,62482
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 6000 m²,Genteng,6195000,Lainnya,185850000,Baik,6000.0,Komersial,Buruk,rendah,52924
"Jl. Raya Lakarsantri No. 10, Surabaya",LT 360 m²,Lakarsantri,1032000,HGB,1857600,Buruk,360.0,Industri,Buruk,tinggi,59256
"Jl. Raya Gubeng No. 60, Surabaya",LT : 840 m²,Gubeng,5625000,Lainnya,23625000,Buruk,840.0,Komersial,Buruk,tinggi,123961
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 6000 m²,Rungkut,2352000,Lainnya,70560000,Baik,6000.0,Perumahan,Baik,tinggi,123757
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 7950 m²,Genteng,6195000,SHM,246251250,Buruk,7950.0,Komersial,Buruk,rendah,52924
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 445 m²,Lakarsantri,1032000,Lainnya,2296200,Buruk,445.0,Komersial,Baik,tinggi,59256
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",,Tambaksari,2352000,HGB,77827680,Baik,6618.0,Perumahan,Baik,rendah,214966
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",,Rungkut,2352000,Lainnya,41054160,Baik,3491.0,Perumahan,Baik,tinggi,123757
"Jl. Gayungan No. 5, Surabaya",,Gayungan,3000000,Lainnya,139335000,Baik,9289.0,Industri,Buruk,tinggi,41289
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 1840 m²,Rungkut,2352000,HGB,21638400,Buruk,1840.0,Perumahan,Buruk,tinggi,123757
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 5252 m²,Benowo,1032000,SHM,27100320,Baik,5252.0,Industri,Baik,tinggi,69938
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT 980 m2,Sukomanunggal,5625000,SHM,27562500,Buruk,980.0,Industri,Baik,rendah,101259
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 7000 m²,Tambaksari,2352000,SHM,82320000,Baik,7000.0,Perumahan,Baik,rendah,214966
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",LT : 600 m²,Mulyorejo,1416000,SHM,4248000,Baik,600.0,Perumahan,Baik,rendah,86545
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 15000 m²,Kenjeran,1862000,SHM,139650000,Buruk,15000.0,Perumahan,Baik,rendah,181325
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",,Gunung Anyar,1862000,HGB,45330390,Buruk,4869.0,Perumahan,Buruk,rendah,62482
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 450 m²,Kenjeran,1862000,SHM,4189500,Baik,450.0,Perumahan,Buruk,rendah,181325
"Jl. Bulak No. 3, Surabaya",,Bulak,1500000,Lainnya,32572500,Buruk,4343.0,Perumahan,Buruk,tinggi,43764
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 150 m²,Kenjeran,1862000,SHM,1396500,Buruk,150.0,Perumahan,Buruk,rendah,181325
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 1482 m²,Gunung Anyar,1862000,SHM,13797420,Baik,1482.0,Industri,Buruk,rendah,62482
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 214 m²,Lakarsantri,1032000,HGB,1104240,Buruk,214.0,Industri,Buruk,rendah,59256
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 600 m²,Wonokromo,5625000,SHM,16875000,Baik,600.0,Komersial,Buruk,rendah,144650
"Jl. Krembangan No. 8, Surabaya",,Krembangan,3500000,HGB,140927500,Buruk,8053.0,Industri,Baik,tinggi,109027
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 1800 m²,Kenjeran,1862000,SHM,16758000,Baik,1800.0,Perumahan,Baik,tinggi,181325
"Jl. Raya Lakarsantri No. 10, Surabaya",LT 114m2,Lakarsantri,1032000,Lainnya,588240,Baik,114.0,Komersial,Buruk,rendah,59256
"Jl. Krembangan No. 8, Surabaya",,Krembangan,3500000,SHM,130007500,Baik,7429.0,Industri,Baik,rendah,109027
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 1750 m²,Lakarsantri,1032000,Lainnya,9030000,Buruk,1750.0,Perumahan,Buruk,rendah,59256
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 11267 m²,Lakarsantri,1032000,SHM,58137720,Buruk,11267.0,Industri,Buruk,rendah,59256
"Jl. Simokerto No. 12, Surabaya",,Simokerto,2500000,HGB,69912500,Baik,5593.0,Perumahan,Buruk,rendah,86897
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 500 m²,Lakarsantri,1032000,HGB,2580000,Buruk,500.0,Perumahan,Buruk,tinggi,59256
"Jl. Bubutan No. 2, Surabaya",,Bubutan,4000000,Lainnya,132920000,Baik,6646.0,Industri,Baik,rendah,90646
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",LT : 450 m²,Mulyorejo,1416000,HGB,3186000,Baik,450.0,Perumahan,Buruk,rendah,86545
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 1540 m²,Gunung Anyar,1862000,Lainnya,14337400,Baik,1540.0,Perumahan,Baik,tinggi,62482
"Jl. Raya Lakarsantri No. 10, Surabaya",LT 1139 m²,Lakarsantri,1032000,HGB,5877240,Baik,1139.0,Perumahan,Baik,rendah,59256
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",LT : 1400 m²,Wiyung,1416000,SHM,9912000,Buruk,1400.0,Komersial,Baik,rendah,71605
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 500 m²,Sambikerep,1032000,Lainnya,2580000,Baik,500.0,Industri,Baik,rendah,63778
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 3565 m²,Wonokromo,5625000,HGB,100265625,Buruk,3565.0,Komersial,Buruk,rendah,144650
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 2200 m²,Wonokromo,5625000,HGB,61875000,Buruk,2200.0,Komersial,Baik,tinggi,144650
"Jl. Asemrowo No. 1, Surabaya",,Asemrowo,2500000,Lainnya,75225000,Baik,6018.0,Industri,Baik,tinggi,45547
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 1260 m²,Lakarsantri,1032000,HGB,6501600,Buruk,1260.0,Komersial,Buruk,tinggi,59256
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 1185 m²,Sambikerep,1032000,HGB,6114600,Buruk,1185.0,Perumahan,Buruk,tinggi,63778
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 800 m²,Lakarsantri,1032000,SHM,4128000,Buruk,800.0,Industri,Baik,tinggi,59256
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 50000 m²,Genteng,6195000,Lainnya,1548750000,Baik,50000.0,Komersial,Baik,tinggi,52924
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 817 m²,Tambaksari,2352000,Lainnya,9607920,Baik,817.0,Perumahan,Baik,tinggi,214966
"Jl. Asemrowo No. 1, Surabaya",,Asemrowo,2500000,HGB,94700000,Buruk,7576.0,Industri,Baik,rendah,45547
"Jl. Sukolilo No. 13, Surabaya",,Sukolilo,4000000,Lainnya,115000000,Buruk,5750.0,Perumahan,Baik,rendah,110557
"Jl. Raya Sememi No. 15, Benowo, Surabaya",,Benowo,1032000,SHM,41754720,Buruk,8092.0,Industri,Buruk,rendah,69938
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 151 m²,Sambikerep,1032000,Lainnya,779160,Buruk,151.0,Perumahan,Buruk,tinggi,63778
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 560 m²,Lakarsantri,1032000,SHM,2889600,Baik,560.0,Industri,Baik,rendah,59256
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 150 m²,Benowo,1032000,HGB,774000,Buruk,150.0,Industri,Baik,tinggi,69938
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 2000 m²,Gunung Anyar,1862000,Lainnya,18620000,Buruk,2000.0,Perumahan,Baik,rendah,62482
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 834 m²,Sambikerep,1032000,SHM,4303440,Baik,834.0,Komersial,Buruk,rendah,63778
"Jl. Petemon No. 77, Sawahan, Surabaya",,Sawahan,1416000,Lainnya,47945760,Baik,6772.0,Perumahan,Buruk,rendah,188693
"Jl. Raya Gubeng No. 60, Surabaya",LT : 2850 m²,Gubeng,5625000,Lainnya,80156250,Baik,2850.0,Komersial,Baik,tinggi,123961
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 600 m²,Lakarsantri,1032000,SHM,3096000,Buruk,600.0,Komersial,Baik,rendah,59256
"Jl. Bubutan No. 2, Surabaya",,Bubutan,4000000,Lainnya,136540000,Baik,6827.0,Perumahan,Buruk,rendah,90646
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 447 m²,Rungkut,2352000,HGB,5256720,Buruk,447.0,Perumahan,Buruk,rendah,123757
"Jl. Petemon No. 77, Sawahan, Surabaya",LT 1954 m²,Sawahan,1416000,SHM,13834320,Baik,1954.0,Perumahan,Baik,rendah,188693
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 72 m²,Sambikerep,1032000,Lainnya,371520,Baik,72.0,Industri,Buruk,tinggi,63778
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",,Wiyung,1416000,Lainnya,28681080,Baik,4051.0,Perumahan,Baik,rendah,71605
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 114 m²,Sawahan,1416000,SHM,807120,Baik,114.0,Perumahan,Baik,tinggi,188693
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 3000 m²,Benowo,1032000,HGB,15480000,Buruk,3000.0,Industri,Buruk,tinggi,69938
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 344 m²,Genteng,6195000,Lainnya,10655400,Buruk,344.0,Komersial,Baik,rendah,52924
"Jl. Raya Gubeng No. 60, Surabaya",LT : 1167 m²,Gubeng,5625000,Lainnya,32821875,Baik,1167.0,Komersial,Baik,tinggi,123961
"Jl. Raya Gubeng No. 60, Surabaya",LT : 120 m²,Gubeng,5625000,SHM,3375000,Baik,120.0,Komersial,Baik,tinggi,123961
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",,Sambikerep,1032000,SHM,12198240,Buruk,2364.0,Perumahan,Baik,rendah,63778
"Jl. Tenggilis Mejoyo No. 15, Surabaya",,Tenggilis Mejoyo,3200000,HGB,107472000,Baik,6717.0,Perumahan,Baik,rendah,61187
"Jl. Tunjungan No. 1, Genteng, Surabaya",,Genteng,6195000,SHM,75238275,Baik,2429.0,Komersial,Buruk,tinggi,52924
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 264 m²,Wonokromo,5625000,Lainnya,7425000,Buruk,264.0,Komersial,Buruk,rendah,144650
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 630 m²,Lakarsantri,1032000,HGB,3250800,Buruk,630.0,Komersial,Baik,rendah,59256
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 1800 m²,Benowo,1032000,SHM,9288000,Buruk,1800.0,Industri,Baik,rendah,69938
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 1011 m²,Sawahan,1416000,Lainnya,7157880,Buruk,1011.0,Perumahan,Buruk,rendah,188693
"Jl. Raya Gubeng No. 60, Surabaya",LT : 2250 m²,Gubeng,5625000,Lainnya,63281250,Baik,2250.0,Komersial,Baik,tinggi,123961
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",,Mulyorejo,1416000,HGB,9416400,Buruk,1330.0,Perumahan,Baik,tinggi,86545
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 900 m²,Gunung Anyar,1862000,HGB,8379000,Buruk,900.0,Perumahan,Buruk,tinggi,62482
"Jl. Bubutan No. 2, Surabaya",,Bubutan,4000000,SHM,199680000,Buruk,9984.0,Komersial,Buruk,tinggi,90646
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 510 m²,Gunung Anyar,1862000,Lainnya,4748100,Baik,510.0,Perumahan,Buruk,rendah,62482
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 1393 m²,Sukomanunggal,5625000,HGB,39178125,Baik,1393.0,Industri,Baik,rendah,101259
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",,Sambikerep,1032000,HGB,10892760,Baik,2111.0,Industri,Buruk,rendah,63778
"Jl. Raya Sememi No. 15, Benowo, Surabaya",,Benowo,1032000,HGB,43524600,Baik,8435.0,Industri,Baik,tinggi,69938
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT 1800 m2,Gunung Anyar,1862000,SHM,16758000,Buruk,1800.0,Komersial,Baik,tinggi,62482
"Jl. Gayungan No. 5, Surabaya",,Gayungan,3000000,SHM,13515000,Baik,901.0,Perumahan,Buruk,tinggi,41289
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 800 m²,Lakarsantri,1032000,HGB,4128000,Baik,800.0,Komersial,Buruk,rendah,59256
"Jl. Kedungdoro No. 1, Surabaya",,Tegalsari,6805000,Lainnya,45185200,Buruk,1328.0,Komersial,Baik,tinggi,92014
"Jl. Raya Sememi No. 15, Benowo, Surabaya",,Benowo,1032000,SHM,49494720,Buruk,9592.0,Industri,Baik,rendah,69938
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 630 m²,Lakarsantri,1032000,Lainnya,3250800,Baik,630.0,Komersial,Baik,rendah,59256
"Jl. Krembangan No. 8, Surabaya",,Krembangan,3500000,SHM,147997500,Buruk,8457.0,Industri,Baik,rendah,109027
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",LT : 300 m²,Wiyung,1416000,HGB,2124000,Buruk,300.0,Perumahan,Buruk,rendah,71605
"Jl. Dukuh Pakis No. 4, Surabaya",,Dukuh Pakis,5000000,Lainnya,183125000,Buruk,7325.0,Industri,Baik,tinggi,56707
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 4590 m²,Lakarsantri,1032000,HGB,23684400,Buruk,4590.0,Komersial,Buruk,rendah,59256
"Jl. Tenggilis Mejoyo No. 15, Surabaya",,Tenggilis Mejoyo,3200000,SHM,25488000,Baik,1593.0,Komersial,Baik,rendah,61187
"Jl. Raya Gubeng No. 60, Surabaya",,Gubeng,5625000,SHM,236896875,Baik,8423.0,Komersial,Buruk,tinggi,123961
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",,Wonokromo,5625000,SHM,14259375,Buruk,507.0,Komersial,Baik,rendah,144650
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 1170 m²,Tambaksari,2352000,SHM,13759200,Buruk,1170.0,Perumahan,Baik,rendah,214966
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 280 m²,Sawahan,1416000,HGB,1982400,Baik,280.0,Perumahan,Baik,rendah,188693
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT 200.9 m²,Sambikerep,1032000,SHM,1032000,Baik,200.0,Perumahan,Buruk,rendah,63778
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",,Tambaksari,2352000,HGB,81379200,Baik,6920.0,Perumahan,Baik,rendah,214966
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 192 m²,Gunung Anyar,1862000,SHM,1787520,Buruk,192.0,Perumahan,Baik,tinggi,62482
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 1500 m²,Rungkut,2352000,SHM,17640000,Baik,1500.0,Perumahan,Baik,rendah,123757
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",,Kenjeran,1862000,SHM,64024870,Baik,6877.0,Perumahan,Baik,tinggi,181325
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",LT : 978 m²,Kenjeran,1862000,Lainnya,9105180,Baik,978.0,Perumahan,Buruk,tinggi,181325
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",,Rungkut,2352000,Lainnya,57118320,Buruk,4857.0,Perumahan,Buruk,tinggi,123757
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 1700 m²,Wonokromo,5625000,SHM,47812500,Baik,1700.0,Komersial,Baik,tinggi,144650
"Jl. Raya Sememi No. 15, Benowo, Surabaya",,Benowo,1032000,SHM,4179600,Baik,810.0,Industri,Baik,rendah,69938
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 60000 m²,Rungkut,2352000,HGB,705600000,Baik,60000.0,Perumahan,Buruk,rendah,123757
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",LT : 270 m²,Mulyorejo,1416000,SHM,1911600,Baik,270.0,Industri,Buruk,rendah,86545
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 80 m²,Rungkut,2352000,Lainnya,940800,Buruk,80.0,Perumahan,Buruk,rendah,123757
"Jl. Krembangan No. 8, Surabaya",,Krembangan,3500000,SHM,109182500,Baik,6239.0,Industri,Buruk,rendah,109027
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",,Gunung Anyar,1862000,SHM,47732370,Baik,5127.0,Industri,Buruk,tinggi,62482
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 330 m²,Sukomanunggal,5625000,SHM,9281250,Buruk,330.0,Industri,Buruk,rendah,101259
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",,Wonokromo,5625000,SHM,133762500,Baik,4756.0,Komersial,Buruk,tinggi,144650
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",LT : 834 m²,Wiyung,1416000,Lainnya,5904720,Baik,834.0,Industri,Baik,rendah,71605
"Jl. Raya Sememi No. 15, Benowo, Surabaya",,Benowo,1032000,HGB,995880,Baik,193.0,Industri,Buruk,rendah,69938
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 1093 m²,Lakarsantri,1032000,HGB,5639880,Baik,1093.0,Perumahan,Baik,tinggi,59256
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 525 m²,Sukomanunggal,5625000,Lainnya,14765625,Baik,525.0,Industri,Buruk,tinggi,101259
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 2000 m²,Tambaksari,2352000,Lainnya,23520000,Buruk,2000.0,Perumahan,Baik,rendah,214966
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 350 m²,Sawahan,1416000,HGB,2478000,Buruk,350.0,Perumahan,Baik,tinggi,188693
"Jl. Raya Sememi No. 15, Benowo, Surabaya",LT : 810 m²,Benowo,1032000,Lainnya,4179600,Baik,810.0,Industri,Baik,rendah,69938
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 455 m²,Tambaksari,2352000,Lainnya,5350800,Baik,455.0,Perumahan,Baik,tinggi,214966
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 407 m²,Sukomanunggal,5625000,SHM,11446875,Baik,407.0,Industri,Buruk,rendah,101259
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 950 m²,Sambikerep,1032000,SHM,4902000,Buruk,950.0,Komersial,Buruk,rendah,63778
"Jl. Tandes No. 14, Surabaya",,Tandes,2000000,SHM,29010000,Baik,2901.0,Industri,Buruk,tinggi,87511
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 150 m²,Sambikerep,1032000,Lainnya,774000,Buruk,150.0,Industri,Buruk,rendah,63778
"Jl. Pakal No. 10, Surabaya",,Pakal,1200000,SHM,16362000,Buruk,2727.0,Industri,Baik,rendah,59971
"Jl. Asemrowo No. 1, Surabaya",,Asemrowo,2500000,Lainnya,10562500,Baik,845.0,Industri,Baik,tinggi,45547
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",,Tambaksari,2352000,HGB,81508560,Buruk,6931.0,Perumahan,Baik,tinggi,214966
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 95 m²,Lakarsantri,1032000,Lainnya,490200,Buruk,95.0,Perumahan,Baik,rendah,59256
"Jl. Raya Sememi No. 15, Benowo, Surabaya",,Benowo,1032000,SHM,50144880,Baik,9718.0,Industri,Buruk,rendah,69938
"Jl. Petemon No. 77, Sawahan, Surabaya",LT : 300 m²,Sawahan,1416000,HGB,2124000,Buruk,300.0,Perumahan,Buruk,rendah,188693
"Jl. Pakal No. 10, Surabaya",,Pakal,1200000,Lainnya,42270000,Baik,7045.0,Industri,Buruk,tinggi,59971
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",LT : 600 m²,Wonokromo,5625000,Lainnya,16875000,Buruk,600.0,Komersial,Baik,rendah,144650
"Jl. Bubutan No. 2, Surabaya",,Bubutan,4000000,HGB,66360000,Buruk,3318.0,Perumahan,Buruk,rendah,90646
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",LT : 740 m²,Rungkut,2352000,HGB,8702400,Baik,740.0,Perumahan,Baik,tinggi,123757
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",,Wonokromo,5625000,Lainnya,32315625,Baik,1149.0,Komersial,Baik,rendah,144650
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",LT : 10000 m²,Tambaksari,2352000,SHM,117600000,Baik,10000.0,Perumahan,Baik,rendah,214966
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",LT : 272 m²,Sambikerep,1032000,Lainnya,1403520,Buruk,272.0,Industri,Buruk,tinggi,63778
"Jl. Tunjungan No. 1, Genteng, Surabaya",,Genteng,6195000,HGB,6566700,Buruk,212.0,Komersial,Buruk,tinggi,52924
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 560 m²,Lakarsantri,1032000,HGB,2889600,Buruk,560.0,Industri,Baik,rendah,59256
"Jl. Sukolilo No. 13, Surabaya",,Sukolilo,4000000,Lainnya,147440000,Baik,7372.0,Perumahan,Baik,rendah,110557
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 1260 m²,Lakarsantri,1032000,HGB,6501600,Baik,1260.0,Perumahan,Buruk,tinggi,59256
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",,Wiyung,1416000,SHM,11207640,Buruk,1583.0,Perumahan,Buruk,tinggi,71605
"Jl. Pakal No. 10, Surabaya",,Pakal,1200000,Lainnya,57444000,Buruk,9574.0,Industri,Buruk,rendah,59971
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",,Kenjeran,1862000,Lainnya,85605450,Buruk,9195.0,Perumahan,Baik,tinggi,181325
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",,Sambikerep,1032000,HGB,20423280,Baik,3958.0,Industri,Buruk,rendah,63778
"Jl. Jambangan No. 6, Surabaya",,Jambangan,2500000,HGB,97162500,Baik,7773.0,Industri,Buruk,rendah,50470
"Jl. Tunjungan No. 1, Genteng, Surabaya",LT : 605 m²,Genteng,6195000,HGB,18739875,Buruk,605.0,Komersial,Buruk,tinggi,52924
"Jl. Simokerto No. 12, Surabaya",,Simokerto,2500000,HGB,47400000,Baik,3792.0,Industri,Baik,tinggi,86897
"Jl. Raya Lakarsantri No. 10, Surabaya",LT : 390 m²,Lakarsantri,1032000,HGB,2012400,Baik,390.0,Perumahan,Buruk,tinggi,59256
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",LT : 560 m²,Gunung Anyar,1862000,SHM,5213600,Baik,560.0,Industri,Buruk,tinggi,62482
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",LT : 1950 m²,Wiyung,1416000,Lainnya,13806000,Buruk,1950.0,Perumahan,Buruk,rendah,71605
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",LT : 813 m²,Sukomanunggal,5625000,HGB,22865625,Buruk,813.0,Industri,Baik,rendah,101259
"Jl. Tunjungan No. 1, Genteng, Surabaya",Lt 564m²,Genteng,6195000,HGB,17469900,Buruk,564.0,Komersial,Baik,rendah,52924
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",,Wiyung,1416000,SHM,8418120,Buruk,1189.0,Komersial,Baik,tinggi,71605
